alt,cad,dst,hrt,lat,lon,pwr,spd,time,tmp,sec,id
276.000000,67,6472.980000,121.000000,37.892519,-122.242313,321.000000,2.370000,2016-10-27 00:36:39,12,1370.000000,20161026171349
276.800000,67,6475.730000,123.000000,37.892499,-122.242295,324.000000,2.594000,2016-10-27 00:36:40,12,1371.000000,20161026171349
278.400000,66,6477.920000,124.000000,37.892483,-122.242279,304.000000,2.370000,2016-10-27 00:36:41,12,1372.000000,20161026171349
279.000000,66,6480.510000,126.000000,37.892462,-122.242266,364.000000,2.342000,2016-10-27 00:36:42,12,1373.000000,20161026171349
279.200000,67,6483.300000,127.000000,37.892441,-122.242247,326.000000,2.510000,2016-10-27 00:36:43,12,1374.000000,20161026171349
279.800000,66,6485.780000,128.000000,37.892422,-122.242231,329.000000,2.323000,2016-10-27 00:36:44,12,1375.000000,20161026171349
280.200000,66,6488.180000,129.000000,37.892404,-122.242218,318.000000,2.081000,2016-10-27 00:36:45,12,1376.000000,20161026171349
280.600000,67,6490.970000,130.000000,37.892382,-122.242203,318.000000,2.351000,2016-10-27 00:36:46,12,1377.000000,20161026171349
281.200000,68,6493.730000,130.000000,37.892358,-122.242193,274.000000,2.454000,2016-10-27 00:36:47,12,1378.000000,20161026171349
281.600000,70,6496.880000,131.000000,37.892332,-122.242180,299.000000,2.482000,2016-10-27 00:36:48,12,1379.000000,20161026171349
282.000000,69,6500.050000,131.000000,37.892305,-122.242165,322.000000,2.753000,2016-10-27 00:36:49,12,1380.000000,20161026171349
282.200000,73,6503.310000,132.000000,37.892278,-122.242150,376.000000,2.762000,2016-10-27 00:36:50,12,1381.000000,20161026171349
282.400000,74,6506.370000,132.000000,37.892253,-122.242136,331.000000,2.650000,2016-10-27 00:36:51,12,1382.000000,20161026171349
283.000000,76,6509.320000,133.000000,37.892230,-122.242119,318.000000,2.678000,2016-10-27 00:36:52,12,1383.000000,20161026171349
283.400000,77,6512.130000,133.000000,37.892209,-122.242102,307.000000,2.678000,2016-10-27 00:36:53,12,1384.000000,20161026171349
