,alt,cad,dst,hrt,lat,lon,pwr,spd,time,tmp,sec,id,segID
4812,282.0,56.0,28956.57,106.0,37.892513,-122.24228,244.0,3.49,2016-04-11 01:55:06,7,4831.0,20160410173435,201604101734354812
4813,282.6,62.0,28959.2,107.0,37.89249,-122.242273,298.0,2.948,2016-04-11 01:55:07,7,4832.0,20160410173435,201604101734354812
4814,283.0,60.0,28961.56,109.0,37.89247,-122.242266,243.0,2.585,2016-04-11 01:55:08,7,4833.0,20160410173435,201604101734354812
4815,283.4,57.0,28963.34,110.0,37.892455,-122.242258,267.0,2.379,2016-04-11 01:55:09,7,4834.0,20160410173435,201604101734354812
4816,284.0,60.0,28965.39,111.0,37.892438,-122.242248,323.0,2.239,2016-04-11 01:55:10,7,4835.0,20160410173435,201604101734354812
4817,284.4,61.0,28967.1,112.0,37.892423,-122.242242,318.0,2.155,2016-04-11 01:55:11,7,4836.0,20160410173435,201604101734354812
4818,285.0,63.0,28968.84,114.0,37.892409,-122.242233,330.0,1.885,2016-04-11 01:55:12,8,4837.0,20160410173435,201604101734354812
4819,285.4,66.0,28970.21,116.0,37.892396,-122.242237,334.0,1.782,2016-04-11 01:55:13,8,4838.0,20160410173435,201604101734354812
4820,286.2,67.0,28971.7,117.0,37.892383,-122.242232,309.0,1.698,2016-04-11 01:55:14,8,4839.0,20160410173435,201604101734354812
4821,286.6,66.0,28974.05,119.0,37.892362,-122.242225,311.0,2.053,2016-04-11 01:55:15,8,4840.0,20160410173435,201604101734354812
4822,287.0,67.0,28976.93,121.0,37.89234,-122.242205,322.0,2.062,2016-04-11 01:55:16,8,4841.0,20160410173435,201604101734354812
4823,287.4,68.0,28978.91,122.0,37.892323,-122.242199,310.0,2.062,2016-04-11 01:55:17,8,4842.0,20160410173435,201604101734354812
4824,287.8,68.0,28981.01,123.0,37.892306,-122.242187,312.0,1.791,2016-04-11 01:55:18,8,4843.0,20160410173435,201604101734354812
4825,288.2,70.0,28983.75,124.0,37.892282,-122.242181,312.0,2.155,2016-04-11 01:55:19,8,4844.0,20160410173435,201604101734354812
4826,288.6,71.0,28986.16,125.0,37.892261,-122.242173,306.0,2.351,2016-04-11 01:55:20,8,4845.0,20160410173435,201604101734354812
4827,289.0,71.0,28988.76,125.0,37.892239,-122.242164,335.0,2.463,2016-04-11 01:55:21,8,4846.0,20160410173435,201604101734354812
4828,289.2,74.0,28991.33,126.0,37.892218,-122.242148,316.0,2.426,2016-04-11 01:55:22,8,4847.0,20160410173435,201604101734354812
4829,289.8,72.0,28994.17,127.0,37.892199,-122.242123,302.0,2.407,2016-04-11 01:55:23,8,4848.0,20160410173435,201604101734354812
4830,290.0,74.0,28996.59,127.0,37.892181,-122.242105,289.0,2.174,2016-04-11 01:55:24,8,4849.0,20160410173435,201604101734354812
4831,290.4,75.0,28999.06,128.0,37.892166,-122.242079,274.0,2.286,2016-04-11 01:55:25,8,4850.0,20160410173435,201604101734354812
4832,290.6,76.0,29001.76,129.0,37.892149,-122.242057,271.0,2.314,2016-04-11 01:55:26,8,4851.0,20160410173435,201604101734354812
4833,291.2,78.0,29004.29,129.0,37.892132,-122.242037,258.0,2.323,2016-04-11 01:55:27,8,4852.0,20160410173435,201604101734354812
4834,291.4,80.0,29006.84,130.0,37.892119,-122.242011,246.0,2.314,2016-04-11 01:55:28,8,4853.0,20160410173435,201604101734354812
4835,291.8,80.0,29009.54,131.0,37.8921,-122.241992,227.0,2.333,2016-04-11 01:55:29,8,4854.0,20160410173435,201604101734354812
4836,292.0,80.0,29012.66,132.0,37.892077,-122.24197,206.0,2.958,2016-04-11 01:55:30,8,4855.0,20160410173435,201604101734354812
4837,292.2,79.0,29015.99,132.0,37.892051,-122.241951,208.0,2.995,2016-04-11 01:55:31,8,4856.0,20160410173435,201604101734354812
4838,292.6,80.0,29019.29,133.0,37.892025,-122.241933,200.0,2.837,2016-04-11 01:55:32,8,4857.0,20160410173435,201604101734354812
4839,292.8,79.0,29022.5,133.0,37.892002,-122.24191,131.0,2.846,2016-04-11 01:55:33,8,4858.0,20160410173435,201604101734354812
4840,293.2,71.0,29025.56,134.0,37.891983,-122.241884,197.0,2.753,2016-04-11 01:55:34,8,4859.0,20160410173435,201604101734354812
4841,293.4,73.0,29029.32,134.0,37.891964,-122.241848,184.0,2.771,2016-04-11 01:55:35,8,4860.0,20160410173435,201604101734354812
4842,293.8,74.0,29032.26,134.0,37.891946,-122.241822,176.0,2.547,2016-04-11 01:55:36,8,4861.0,20160410173435,201604101734354812
4843,294.2,74.0,29036.38,134.0,37.891924,-122.241783,160.0,2.781,2016-04-11 01:55:37,8,4862.0,20160410173435,201604101734354812
4844,294.6,77.0,29039.45,134.0,37.891908,-122.241755,173.0,2.79,2016-04-11 01:55:38,8,4863.0,20160410173435,201604101734354812
4845,294.8,77.0,29043.66,133.0,37.891892,-122.24171,168.0,3.163,2016-04-11 01:55:39,8,4864.0,20160410173435,201604101734354812
4846,295.0,82.0,29047.26,133.0,37.891875,-122.241674,146.0,3.042,2016-04-11 01:55:40,8,4865.0,20160410173435,201604101734354812
4847,295.2,81.0,29050.76,132.0,37.891858,-122.241639,158.0,3.2,2016-04-11 01:55:41,8,4866.0,20160410173435,201604101734354812
4848,295.2,79.0,29054.29,132.0,37.891836,-122.24161,150.0,3.219,2016-04-11 01:55:42,8,4867.0,20160410173435,201604101734354812
4849,295.2,79.0,29057.97,131.0,37.891811,-122.241582,147.0,3.228,2016-04-11 01:55:43,8,4868.0,20160410173435,201604101734354812
4850,295.4,81.0,29061.74,131.0,37.891786,-122.241553,162.0,3.256,2016-04-11 01:55:44,8,4869.0,20160410173435,201604101734354812
4851,295.4,82.0,29066.34,131.0,37.891761,-122.241511,139.0,3.527,2016-04-11 01:55:45,8,4870.0,20160410173435,201604101734354812
4852,295.4,82.0,29070.26,131.0,37.891738,-122.241477,163.0,3.518,2016-04-11 01:55:46,8,4871.0,20160410173435,201604101734354812
4853,295.4,76.0,29074.85,131.0,37.891712,-122.241436,163.0,3.49,2016-04-11 01:55:47,8,4872.0,20160410173435,201604101734354812
4854,295.8,78.0,29078.22,131.0,37.891691,-122.241409,150.0,3.247,2016-04-11 01:55:48,8,4873.0,20160410173435,201604101734354812
4855,295.8,78.0,29081.64,131.0,37.891667,-122.241383,158.0,3.154,2016-04-11 01:55:49,8,4874.0,20160410173435,201604101734354812
4856,296.0,77.0,29084.35,131.0,37.891648,-122.241364,209.0,3.247,2016-04-11 01:55:50,8,4875.0,20160410173435,201604101734354812
4857,296.0,80.0,29089.21,131.0,37.891634,-122.241308,206.0,3.378,2016-04-11 01:55:51,8,4876.0,20160410173435,201604101734354812
4858,296.2,79.0,29092.94,132.0,37.891611,-122.241276,199.0,3.415,2016-04-11 01:55:52,8,4877.0,20160410173435,201604101734354812
4859,296.2,80.0,29095.94,132.0,37.891592,-122.241252,176.0,3.154,2016-04-11 01:55:53,8,4878.0,20160410173435,201604101734354812
4860,296.2,79.0,29099.64,132.0,37.891571,-122.241218,178.0,2.995,2016-04-11 01:55:54,8,4879.0,20160410173435,201604101734354812
4861,296.4,80.0,29104.22,132.0,37.891551,-122.241171,194.0,3.294,2016-04-11 01:55:55,8,4880.0,20160410173435,201604101734354812
4862,296.6,79.0,29108.84,132.0,37.891529,-122.241126,222.0,3.48,2016-04-11 01:55:56,8,4881.0,20160410173435,201604101734354812
4863,296.6,79.0,29112.33,132.0,37.891505,-122.2411,229.0,3.499,2016-04-11 01:55:57,8,4882.0,20160410173435,201604101734354812
4864,296.8,81.0,29116.11,132.0,37.891479,-122.241072,229.0,3.368,2016-04-11 01:55:58,8,4883.0,20160410173435,201604101734354812
4865,297.0,81.0,29120.39,132.0,37.891453,-122.241037,222.0,3.228,2016-04-11 01:55:59,8,4884.0,20160410173435,201604101734354812
4866,297.0,81.0,29124.25,132.0,37.891428,-122.241007,235.0,3.2,2016-04-11 01:56:00,8,4885.0,20160410173435,201604101734354812
4867,297.4,79.0,29128.26,132.0,37.8914,-122.240978,239.0,3.378,2016-04-11 01:56:01,8,4886.0,20160410173435,201604101734354812
4868,297.6,79.0,29132.18,132.0,37.891372,-122.240951,255.0,3.387,2016-04-11 01:56:02,8,4887.0,20160410173435,201604101734354812
4869,297.8,79.0,29136.61,132.0,37.891341,-122.240919,247.0,3.508,2016-04-11 01:56:03,8,4888.0,20160410173435,201604101734354812
4870,298.0,76.0,29140.61,132.0,37.891313,-122.24089,247.0,3.378,2016-04-11 01:56:04,8,4889.0,20160410173435,201604101734354812
4871,298.2,77.0,29145.01,132.0,37.891283,-122.240857,245.0,3.732,2016-04-11 01:56:05,8,4890.0,20160410173435,201604101734354812
4872,298.4,77.0,29149.64,132.0,37.891251,-122.240823,204.0,3.751,2016-04-11 01:56:06,8,4891.0,20160410173435,201604101734354812
4873,298.6,75.0,29154.16,131.0,37.891222,-122.240787,204.0,3.788,2016-04-11 01:56:07,8,4892.0,20160410173435,201604101734354812
